1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
174080,000000	262,236016
175104,000000	262,286875
176128,000000	262,428750
177152,000000	262,613828
178176,000000	262,680547
179200,000000	262,930469
180224,000000	262,927813
181248,000000	263,280625
182272,000000	263,400078
183296,000000	263,507969
184320,000000	263,572031
185344,000000	263,742812
186368,000000	263,775313
187392,000000	263,974375
188416,000000	263,955000
189440,000000	264,243438
190464,000000	264,264844
191488,000000	264,245312
192512,000000	264,420625
193536,000000	264,523516
194560,000000	264,731406
195584,000000	264,599609
196608,000000	264,838984
197632,000000	264,866016
198656,000000	265,058359
199680,000000	265,011328
200704,000000	265,148828
201728,000000	265,293984
202752,000000	265,303125
203776,000000	265,541719
204800,000000	265,558906
205824,000000	265,719609
206848,000000	265,812422
207872,000000	265,997891
208896,000000	266,244922
209920,000000	266,247188
210944,000000	266,323359
211968,000000	266,397266
212992,000000	266,556875
214016,000000	266,736250
215040,000000	266,829687
216064,000000	266,875859
217088,000000	266,948516
218112,000000	266,972813
219136,000000	267,273672
220160,000000	267,139766
221184,000000	267,242422
222208,000000	267,339297
223232,000000	267,330781
224256,000000	267,408359
225280,000000	267,456875
226304,000000	267,429922
227328,000000	267,509609
228352,000000	267,541016
229376,000000	267,613047
230400,000000	267,622656
231424,000000	267,705234
232448,000000	267,691719
233472,000000	267,668438
234496,000000	267,743516
235520,000000	267,770625
236544,000000	267,795859
237568,000000	267,864922
238592,000000	267,811250
239616,000000	267,952266
240640,000000	267,924453
241664,000000	268,004063
242688,000000	267,932344
243712,000000	267,910391
244736,000000	268,040000
245760,000000	267,991484
246784,000000	268,036797
247808,000000	268,119766
248832,000000	268,195156
249856,000000	268,169141
250880,000000	268,159844
251904,000000	268,130078
252928,000000	268,170703
253952,000000	268,208516
254976,000000	268,179531
256000,000000	268,214453
257024,000000	268,289141
258048,000000	268,192578
259072,000000	268,348750
260096,000000	268,339219
