1D 255 -512,000000 260608,000000	[nbin xmin xmax]
"X"	"Function_0"
141312,000000	255,746484
142336,000000	256,125937
143360,000000	256,439766
144384,000000	256,844375
145408,000000	257,102031
146432,000000	257,349297
147456,000000	257,706641
148480,000000	257,955781
149504,000000	258,165469
150528,000000	258,332578
151552,000000	258,721797
152576,000000	259,209531
153600,000000	259,350000
154624,000000	259,722578
155648,000000	260,148672
156672,000000	260,283125
157696,000000	260,667188
158720,000000	260,858359
159744,000000	261,152578
160768,000000	261,327109
161792,000000	261,557734
162816,000000	261,758906
163840,000000	262,110078
164864,000000	262,328125
165888,000000	262,546562
166912,000000	262,663750
167936,000000	263,004922
168960,000000	263,051250
169984,000000	263,256562
171008,000000	263,350000
172032,000000	263,536250
173056,000000	263,592734
174080,000000	263,725234
175104,000000	263,954063
176128,000000	264,066875
177152,000000	264,265938
178176,000000	264,304453
179200,000000	264,468516
180224,000000	264,683438
181248,000000	264,900156
182272,000000	265,108047
183296,000000	265,338516
184320,000000	265,538516
185344,000000	265,807969
186368,000000	265,924609
187392,000000	266,122344
188416,000000	266,260781
189440,000000	266,448828
190464,000000	266,436875
191488,000000	266,632812
192512,000000	266,742578
193536,000000	266,901719
194560,000000	266,908203
195584,000000	266,967344
196608,000000	267,145000
197632,000000	267,207109
198656,000000	267,168906
199680,000000	267,295000
200704,000000	267,394062
201728,000000	267,367813
202752,000000	267,540313
203776,000000	267,469766
204800,000000	267,628359
205824,000000	267,596719
206848,000000	267,726875
207872,000000	267,725859
208896,000000	267,685781
209920,000000	267,790547
210944,000000	267,829219
211968,000000	268,003125
212992,000000	267,905703
214016,000000	268,024531
215040,000000	268,019609
216064,000000	268,045703
217088,000000	268,112422
218112,000000	268,267656
219136,000000	268,313281
220160,000000	268,340156
221184,000000	268,357500
222208,000000	268,386953
223232,000000	268,358047
224256,000000	268,412734
225280,000000	268,477187
226304,000000	268,611953
227328,000000	268,540781
228352,000000	268,591094
229376,000000	268,638281
230400,000000	268,575703
231424,000000	268,623828
232448,000000	268,704766
233472,000000	268,699922
234496,000000	268,741172
235520,000000	268,708125
236544,000000	268,630469
237568,000000	268,846172
238592,000000	268,819688
239616,000000	268,871328
240640,000000	268,984297
241664,000000	268,823516
242688,000000	268,889922
243712,000000	268,995703
244736,000000	268,914531
245760,000000	268,967969
246784,000000	268,961641
247808,000000	269,030938
248832,000000	268,998437
249856,000000	269,112656
250880,000000	269,129844
251904,000000	269,016562
252928,000000	269,280938
253952,000000	269,216953
254976,000000	269,124141
256000,000000	269,154297
257024,000000	269,193594
258048,000000	269,217109
259072,000000	269,248125
260096,000000	269,197031
